category,priority,reason,flag
Other,Standard,Tarmac surface melting at 44°C.,
Heat Hazard,Standard,Metal bus shelter reaching dangerous temperatures.,
Other,Standard,Dead trees with split branches.,
Heat Hazard,Standard,Irrigation system broken.,
Other,Urgent,Child injured last week.,
Pothole,Standard,Pothole on main highway causing morning rush lane closure.,
Other,Standard,Residential colony unlit after 9pm.,
Waste,Standard,Night market waste not cleared before morning.,NEEDS_REVIEW
Other,Standard,Club music audible at residential buildings at 2am.,
Other,Standard,Zoo approach road surface bubbling at 45°C.,
Heat Hazard,Standard,River walk surface temperature unbearable.,
Heritage Damage,Standard,Old city road subsidence near ancient step well.,
Heat Hazard,Standard,Black metal road dividers storing heat.,
Waste,Standard,Restaurant waste bins overflowing on Sunday night.,NEEDS_REVIEW
Heat Hazard,Standard,BRT shelter roof glass broken.,
