complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,reason,flag,priority
GH-202401,2024-07-01,Hyderabad,Ward 55 – Secunderabad,Tank Bund Road underpass,Underpass flooded after 1hr rain. Ambulance diverted. Lives at risk.,WhatsApp Helpline,13,Other,Could not determine category from words like 'Underpass'.  Marked Urgent due to: severity keyword 'ambulance' and open for 13 days.,NEEDS_REVIEW,Urgent
GH-202402,2024-07-13,Hyderabad,Ward 55 – Secunderabad,Dilsukhnagar Monda Market area,Market area flooded. Traders suffering losses. Drain completely blocked.,Citizen Portal,20,Drain Blockage,The description mentions words related to 'Drain Blockage'.  Marked Urgent due to: open for 20 days.,,Urgent
GH-202406,2024-07-26,Hyderabad,Ward 54 – Kukatpally,"Mehdipatnam, Rethibowli Road",Main stormwater drain 100% blocked with construction debris.,Phone Helpline,3,Drain Blockage,The description mentions words related to 'Drain Blockage'.,,Standard
GH-202407,2024-07-15,Hyderabad,Ward 55 – Secunderabad,"Santoshnagar, Saidabad",Drain blocked and mosquito breeding. Dengue concern.,WhatsApp Helpline,4,Drain Blockage,The description mentions words related to 'Drain Blockage'.,,Standard
GH-202410,2024-07-23,Hyderabad,Ward 55 – Secunderabad,"Outer Ring Road service lane, Narsingi",Potholes causing vehicles to slow to 20kmph on fast road.,Councillor Referral,18,Road Damage,The description mentions words related to 'Road Damage'.  Marked Urgent due to: open for 18 days and reported by VIP (Councillor Referral).,,Urgent
GH-202411,2024-07-31,Hyderabad,Ward 55 – Secunderabad,"Tolichowki, Mount Pleasant Road",Pothole swallowed entire motorcycle wheel. Rider hospitalised.,Ward Office Walk-in,17,Pothole,The description mentions words related to 'Pothole'.  Marked Urgent due to: severity keyword 'hospital' and open for 17 days.,,Urgent
GH-202412,2024-07-24,Hyderabad,Ward 53 – LB Nagar,"Nagole, Ramanthapur Road",School bus struggling to navigate 6 potholes in 200m stretch.,Citizen Portal,4,Other,Could not determine category from words like 'School'.  Marked Urgent due to: severity keyword 'school'.,NEEDS_REVIEW,Urgent
GH-202417,2024-07-16,Hyderabad,Ward 53 – LB Nagar,"Charminar area, old city",Heritage zone garbage overflow. Tourist photographs showing piles of waste.,WhatsApp Helpline,11,Other,Complaint contains overlapping topics like 'Heritage Damage' and 'Flooding'.  Marked Urgent due to: open for 11 days.,NEEDS_REVIEW,Urgent
GH-202420,2024-07-10,Hyderabad,Ward 55 – Secunderabad,Hitech City co-working zone,Construction drilling from 5am daily near residential towers.,WhatsApp Helpline,12,Other,Could not determine category from words like 'Construction'.  Marked Urgent due to: open for 12 days.,NEEDS_REVIEW,Urgent
GH-202422,2024-07-31,Hyderabad,Ward 52 – Madhapur,"Attapur, Shaikpet Road",Road collapsed partially. Crater 1m deep near residential gate.,Social Media,1,Other,Complaint contains overlapping topics like 'Road Damage' and 'Pothole'.  Marked Urgent due to: severity keyword 'collapse'.,NEEDS_REVIEW,Urgent
GH-202424,2024-07-19,Hyderabad,Ward 52 – Madhapur,Malkajgiri railway underpass,Underpass floods in light rain. Cars regularly abandoned.,Councillor Referral,5,Streetlight,The description mentions words related to 'Streetlight'.  Marked Urgent due to: reported by VIP (Councillor Referral).,,Urgent
GH-202428,2024-07-24,Hyderabad,Ward 54 – Kukatpally,Tolichowki Friday Market area,Post-market waste not cleared. Area unusable by Sunday morning.,Ward Office Walk-in,8,Waste,The description mentions words related to 'Waste'.,,Standard
GH-202432,2024-07-19,Hyderabad,Ward 51 – Jubilee Hills,"Kukatpally, KPHB Phase 7",24hr supermarket delivery trucks idling with engines on.,Citizen Portal,2,Other,Could not determine category from words like '24hr'.,NEEDS_REVIEW,Standard
GH-202448,2024-07-22,Hyderabad,Ward 52 – Madhapur,Kondapur main drain,Main drain blocked — entire locality at flooding risk this week.,Councillor Referral,8,Drain Blockage,The description mentions words related to 'Drain Blockage'.  Marked Urgent due to: severity keyword 'risk' and reported by VIP (Councillor Referral).,,Urgent
GH-202438,2024-07-06,Hyderabad,Ward 53 – LB Nagar,Hayathnagar residential colony,Colony surrounded by fields that channel rainwater through main road.,Social Media,11,Road Damage,The description mentions words related to 'Road Damage'.  Marked Urgent due to: open for 11 days.,,Urgent
