complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,"Tarmac surface melting at 44°C. Footwear sticking. Park users unsafe.",
AM-202402,Heat Hazard,Standard,"Metal bus shelter reaching dangerous temperatures. Commuters refusing to use.",
AM-202405,Other,Standard,"Dead trees with split branches. Fall risk to walkers. 3 trees affected.",
AM-202406,Heat Hazard,Standard,"Irrigation system broken. Grass dying in heatwave conditions.",
AM-202407,Other,Urgent,"Broken bench and upturned paving. Child injured last week.",
AM-202410,Pothole,Standard,"Pothole on main highway causing morning rush lane closure.",
AM-202414,Streetlight,Standard,"Residential colony unlit after 9pm. Wiring theft reported.",
AM-202417,Waste,Standard,"Night market waste not cleared before morning. Heritage area affected.",
AM-202421,Noise,Standard,"Club music audible at residential buildings at 2am.",
AM-202424,Heat Hazard,Standard,"Zoo approach road surface bubbling at 45°C. Visitor complaints.",
AM-202429,Heat Hazard,Standard,"River walk surface temperature unbearable. Installed temperature reads 52°C.",
AM-202431,Heritage Damage,Standard,"Old city road subsidence near ancient step well. Heritage concern.",
AM-202435,Heat Hazard,Standard,"Black metal road dividers storing heat. Motorists reporting burns on contact.",
AM-202444,Waste,Standard,"Restaurant waste bins overflowing on Sunday night. Health risk.",
AM-202445,Other,Standard,"BRT shelter roof glass broken. Users exposed to full sun.",
