Ward,Category,Period,Actual Spend,Growth,Formula,Reason
Ward 3 – Kothrud,Roads & Pothole Repair,2024-01,10.6,N/A (Start period),N/A,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-02,11.7,+10.4%,( 11.7 - 10.6 ) / 10.6,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-03,11.1,-5.1%,( 11.1 - 11.7 ) / 11.7,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-04,11.2,+0.9%,( 11.2 - 11.1 ) / 11.1,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-05,13.1,+17.0%,( 13.1 - 11.2 ) / 11.2,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-06,15.0,+14.5%,( 15.0 - 13.1 ) / 13.1,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-07,19.0,+26.7%,( 19.0 - 15.0 ) / 15.0,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-08,18.3,-3.7%,( 18.3 - 19.0 ) / 19.0,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-09,17.2,-6.0%,( 17.2 - 18.3 ) / 18.3,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-10,14.1,-18.0%,( 14.1 - 17.2 ) / 17.2,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-11,9.9,-29.8%,( 9.9 - 14.1 ) / 14.1,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-12,12.3,+24.2%,( 12.3 - 9.9 ) / 9.9,
